title,link,comment
 Python编程 从入门到实践Python3.5编程入门图书 机器学习 数据处理 网络爬虫热门编程语言 从基本概念到完整项目开发 帮助零基础读者迅速掌握Python编程 附赠源代码文件,http://product.dangdang.com/24003310.html,30776条评论
 C Primer Plus 第6版 中文版 C语言入门经典教程畅销30余年的C语言编程入门教程 近百万程序员的C语言编程启蒙教程 技术大牛案头常备的工具书 针对C11标准库更新 蔡学镛 孟岩 高博倾力推荐,http://product.dangdang.com/23958142.html,11981条评论
 C++ Primer Plus(第6版)中文版(畅销30年C++必读经典教程全新升级，蔡学镛、孟岩、高博倾力推荐)畅销20余年的C++编程入门教程 近百万程序员的C++编程启蒙教程 技术大牛案头常备的工具书 针对C++11标准库更新 蔡学镛 孟岩 高博倾力推荐,http://product.dangdang.com/22783504.html,32760条评论
 Java从入门到精通（第4版）（附光盘）畅销书全新改版 累计63次重印 30万读者选择的 java入门经典书 持续八年畅销 全行业优秀畅销书 长期位居java 销售排行榜前列 好学、好用 32小时视频 732个经典实例 369项,,http://product.dangdang.com/24042210.html,15648条评论
 深入理解Java虚拟机：JVM高级特性与最佳实践（第2版）超级畅销书全新升级，第1版两年内印刷近10次，Java图书领域公认的经典著作，繁体版台湾发行,http://product.dangdang.com/23259731.html,17716条评论
 码农翻身（好玩有趣的编程知识）用故事给技术加点料，全网阅读量近1000万次的技术故事，讲解Python、Java编程思想、JavaScript、架构、代码管理等，帮你理解技术起源和本质。《Java开发手册》作者孤尽等专家推荐。,http://product.dangdang.com/25276414.html,1327条评论
 Python核心编程 第3版畅销经典的Python基础教程学习手册进阶图书 兼顾Python2和Python3 机器学习 数据处理 网络爬虫热门编程语言 Python开发人员的案头常备,http://product.dangdang.com/23961748.html,13025条评论
 利用Python进行数据分析大量实践案例教会你如何利用Python库高效解决各式各样的数据分析问题,http://product.dangdang.com/23368089.html,16696条评论
 Java并发编程实战（第16届Jolt大奖提名图书，Java并发编程必读佳作）,http://product.dangdang.com/22606835.html,11119条评论
 算法（第4版）【Sedgewick之巨著，与高德纳TAOCP一脉相承】算法领域的经典参考书 众多图例实现图解算法和算法导论 基于Java语言实现算法和数据结构 熟练掌握算法设计与分析,http://product.dangdang.com/22880871.html,13275条评论
